name,domain,industry,url
FGF Brands Inc,fgfbrands.com,"Industry: Bakeries and Tortilla Manufacturing ,  Grocery and Related Product Merchant Wholesalers ,  Food Manufacturing ,  Manufacturing ,  Bread, cake, and related products
See All Industries ",https://www.dnb.com/business-directory/company-profiles.fgf_brands_inc.fc02496556bdd086ca076d86a97eb922.html
Viterra Canada Inc,viterra.com,"Industry: Warehousing and Storage ,  Support Activities for Water Transportation ,  Farm Product Raw Material Merchant Wholesalers ,  Grain and Oilseed Milling ,  Machinery, Equipment, and Supplies Merchant Wholesalers
See All Industries ",https://www.dnb.com/business-directory/company-profiles.viterra_canada_inc.f81a25eb7915686d3364df286d0fd127.html
High Liner Foods Incorporated,highlinerfoods.com,"Industry: Seafood Product Preparation and Packaging ,  Fruit and Vegetable Preserving and Specialty Food Manufacturing ,  Grocery and Related Product Merchant Wholesalers ,  Fresh or frozen packaged fish, nec ,  Frozen specialties, nec
See All Industries ",https://www.dnb.com/business-directory/company-profiles.high_liner_foods_incorporated.7d24e5a1031fdd93b4de5d4d97598807.html
General Mills Canada Corporation,generalmills.ca,"Industry: Grain and Oilseed Milling ,  Bakeries and Tortilla Manufacturing ,  Other Food Manufacturing ,  Grocery and Related Product Merchant Wholesalers ,  Grain cereals, cracked
See All Industries ",https://www.dnb.com/business-directory/company-profiles.general_mills_canada_corporation.f3a402c4ff51695142f362712871757f.html
Mars Canada Inc,can.mars.com,"Industry: Sugar and Confectionery Product Manufacturing ,  Animal Food Manufacturing ,  Grocery and Related Product Merchant Wholesalers ,  Candy and other confectionery products ,  Dog and cat food, nec
See All Industries ",https://www.dnb.com/business-directory/company-profiles.mars_canada_inc.37c3312dff5c3f1694b3042866a7f8c0.html
Multi-Marques Inc,bimbocanada.com,"Industry: Bakeries and Tortilla Manufacturing ,  Food Manufacturing ,  Manufacturing ,  Bakery: wholesale or wholesale/retail combined",https://www.dnb.com/business-directory/company-profiles.multi-marques_inc.c2c5ecc8ebe64e0dcb304fd0121e089e.html
Procter & Gamble Inc,dentalcare.ca,"Industry: Soap, Cleaning Compound, and Toilet Preparation Manufacturing ,  Grain and Oilseed Milling ,  Converted Paper Product Manufacturing ,  Soap: granulated, liquid, cake, flaked, or chip ,  Detergents, synthetic organic or inorganic alkaline
See All Industries ",https://www.dnb.com/business-directory/company-profiles.procter__gamble_inc.4c64ee8483962991530765609b31e941.html
Rogers Sugar Inc,lanticrogers.com,"Industry: Sugar and Confectionery Product Manufacturing ,  Food Manufacturing ,  Manufacturing ,  Cane sugar refining ,  Granulated sugar, from sugar beets
See All Industries ",https://www.dnb.com/business-directory/company-profiles.rogers_sugar_inc.b882b9d4a57d4d9b4dc4070920267693.html
Hershey Canada Inc,hersheyland.ca,"Industry: Sugar and Confectionery Product Manufacturing ,  Food Manufacturing ,  Manufacturing ,  Candy and other confectionery products",https://www.dnb.com/business-directory/company-profiles.hershey_canada_inc.746410051ab07216fe131b99fa88a55e.html
Campbell Company of Canada,campbellsoup.ca,"Industry: Fruit and Vegetable Preserving and Specialty Food Manufacturing ,  Bakeries and Tortilla Manufacturing ,  Other Food Manufacturing ,  Soups, except seafood: packaged in cans, jars, etc. ,  Vegetable juices: packaged in cans, jars, etc.
See All Industries ",https://www.dnb.com/business-directory/company-profiles.campbell_company_of_canada.76cf4024e8780d3d7ea8ef9408f378d6.html
Clearwater Seafoods Limited Partnership,clearwater.ca,"Industry: Seafood Product Preparation and Packaging ,  Specialty Food Retailers ,  Grocery and Related Product Merchant Wholesalers ,  Crabmeat, frozen ,  Seafood markets
See All Industries ",https://www.dnb.com/business-directory/company-profiles.clearwater_seafoods_limited_partnership.f80e91dc1d7feee59c1553736abbf167.html
Trouw Nutrition Canada Inc,trouwnutrition.ca,"Industry: Miscellaneous Nondurable Goods Merchant Wholesalers ,  Animal Food Manufacturing ,  Merchant Wholesalers, Nondurable Goods ,  Wholesale Trade ,  Feed
See All Industries ",https://www.dnb.com/business-directory/company-profiles.trouw_nutrition_canada_inc.4ae56d272a3ee11b165924a9a1268a71.html
